dia,tarifario,opcao,intervalo,col,omie,tar,omieTar
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[05:15-05:30[,0.22101,0.15864,0.01580,0.19361
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[05:30-05:45[,0.22259,0.16004,0.01580,0.19519
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[05:45-06:00[,0.22261,0.16004,0.01580,0.19520
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[06:00-06:15[,0.22134,0.15864,0.01580,0.19392
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[06:15-06:30[,0.22142,0.15864,0.01580,0.19399
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[06:30-06:45[,0.22143,0.15846,0.01580,0.19398
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[06:45-07:00[,0.21822,0.15530,0.01580,0.19075
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[07:00-07:15[,0.20159,0.14040,0.01580,0.17410
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[07:15-07:30[,0.15880,0.10239,0.01580,0.13130
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[07:30-07:45[,0.13895,0.08473,0.01580,0.11144
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[07:45-08:00[,0.08724,0.03888,0.01580,0.05972
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[08:00-08:15[,0.05324,0.00876,0.01580,0.02570
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[08:15-08:30[,0.04415,0.00071,0.01580,0.01660
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[08:30-08:45[,0.04337,0.00001,0.01580,0.01581
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[08:45-09:00[,0.04338,0.00000,0.01580,0.01580
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[09:00-09:15[,0.04338,-0.00001,0.01580,0.01579
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Semanal,[09:15-09:30[,0.04331,-0.00009,0.01580,0.01570
